match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,Year
New Zealand Vs India,India,6,Hardik Pandya(c),,15,20,1,0,75.00,2023
New Zealand Vs India,New Zealand,1,Finn Allen,c Yadav b Washington Sundar,35,23,4,2,152.17,2023
New Zealand Vs India,New Zealand,2,Devon Conwayâ€ ,c Hooda b Arshdeep Singh,52,35,7,1,148.57,2023
New Zealand Vs India,New Zealand,3,Mark Chapman,c & b Washington Sundar,0,4,0,0,0.00,2023
New Zealand Vs India,New Zealand,4,Glenn Phillips,c Yadav b Kuldeep Yadav,17,22,1,0,77.27,2023
New Zealand Vs India,New Zealand,5,Daryl Mitchell,,59,30,3,5,196.66,2023
New Zealand Vs India,New Zealand,6,Michael Bracewell,run out (â€ Ishan Kishan),1,2,0,0,50.00,2023
New Zealand Vs India,New Zealand,7,Mitchell Santner(c),c Tripathi b Shivam Mavi,7,5,1,0,140.00,2023
New Zealand Vs India,New Zealand,8,Ish Sodhi,,0,0,0,0,-,2023
New Zealand Vs India,India,1,Shubman Gill,c Allen b Santner,7,6,1,0,116.66,2023
New Zealand Vs India,India,2,Ishan Kishanâ€ , b Bracewell,4,5,1,0,80.00,2023
New Zealand Vs India,India,3,Rahul Tripathi,c â€ Conway b Duffy,0,6,0,0,0.00,2023
New Zealand Vs India,India,4,Suryakumar Yadav,c Allen b Sodhi,47,34,6,2,138.23,2023
New Zealand Vs India,India,5,Hardik Pandya(c),c & b Bracewell,21,20,1,1,105.00,2023
New Zealand Vs India,India,6,Washington Sundar,c Duffy b Ferguson,50,28,5,3,178.57,2023
New Zealand Vs India,India,7,Deepak Hooda,st â€ Conway b Santner,10,10,0,1,100.00,2023
New Zealand Vs India,India,8,Shivam Mavi,run out (Santner),2,3,0,0,66.66,2023
New Zealand Vs India,India,9,Kuldeep Yadav,c â€ Conway b Ferguson,0,1,0,0,0.00,2023
New Zealand Vs India,India,10,Arshdeep Singh,,0,6,0,0,0.00,2023
New Zealand Vs India,India,11,Umran Malik,,4,1,1,0,400.00,2023
India Vs Sri Lanka,India,1,Ishan Kishanâ€ ,c DM de Silva b Madushanka,1,2,0,0,50.00,2023
India Vs Sri Lanka,India,2,Shubman Gill, b PWH de Silva,46,36,2,3,127.77,2023
India Vs Sri Lanka,India,3,Rahul Tripathi,c Madushanka b Karunaratne,35,16,5,2,218.75,2023
India Vs Sri Lanka,India,4,Suryakumar Yadav,,112,51,7,9,219.60,2023
India Vs Sri Lanka,India,5,Hardik Pandya(c),c DM de Silva b Rajitha,4,4,0,0,100.00,2023
India Vs Sri Lanka,India,6,Deepak Hooda,c PWH de Silva b Madushanka,4,2,1,0,200.00,2023
India Vs Sri Lanka,India,7,Axar Patel,,21,9,4,0,233.33,2023
India Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,c Shivam Mavi b Arshdeep Singh,15,17,3,0,88.23,2023
India Vs Sri Lanka,Sri Lanka,2,Kusal Mendisâ€ ,c Umran Malik b Patel,23,15,2,2,153.33,2023
India Vs Sri Lanka,Sri Lanka,3,Avishka Fernando,c Arshdeep Singh b Pandya,1,3,0,0,33.33,2023
India Vs Sri Lanka,Sri Lanka,4,Dhananjaya de Silva,c Shubman Gill b Chahal,22,14,2,1,157.14,2023
India Vs Sri Lanka,Sri Lanka,5,Charith Asalanka,c Shivam Mavi b Chahal,19,14,2,1,135.71,2023
India Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),c Patel b Arshdeep Singh,23,17,0,2,135.29,2023
India Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga,c Hooda b Umran Malik,9,8,1,0,112.50,2023
India Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,lbw b Pandya,0,2,0,0,0.00,2023
India Vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana, b Umran Malik,2,5,0,0,40.00,2023
India Vs Sri Lanka,Sri Lanka,10,Kasun Rajitha,,9,4,2,0,225.00,2023
India Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka, b Arshdeep Singh,1,2,0,0,50.00,2023
Sri Lanka Vs India,Sri Lanka,1,Pathum Nissanka,c Tripathi b Patel,33,35,4,0,94.28,2023
Sri Lanka Vs India,Sri Lanka,2,Kusal Mendisâ€ ,lbw b Chahal,52,31,3,4,167.74,2023
Sri Lanka Vs India,Sri Lanka,3,Bhanuka Rajapaksa, b Umran Malik,2,3,0,0,66.66,2023
Sri Lanka Vs India,Sri Lanka,4,Charith Asalanka,c Shubman Gill b Umran Malik,37,19,0,4,194.73,2023
Sri Lanka Vs India,Sri Lanka,5,Dhananjaya de Silva,c Hooda b Patel,3,6,0,0,50.00,2023
Sri Lanka Vs India,Sri Lanka,6,Dasun Shanaka(c),,56,22,2,6,254.54,2023
Sri Lanka Vs India,Sri Lanka,7,Wanindu Hasaranga, b Umran Malik,0,1,0,0,0.00,2023
Sri Lanka Vs India,Sri Lanka,8,Chamika Karunaratne,,11,10,1,0,110.00,2023
Sri Lanka Vs India,India,1,Ishan Kishanâ€ , b Rajitha,2,5,0,0,40.00,2023
Sri Lanka Vs India,India,2,Shubman Gill,c Theekshana b Rajitha,5,3,1,0,166.66,2023
Sri Lanka Vs India,India,3,Rahul Tripathi,c â€ Mendis b Madushanka,5,5,1,0,100.00,2023
Sri Lanka Vs India,India,4,Suryakumar Yadav,c PWH de Silva b Madushanka,51,36,3,3,141.66,2023
Sri Lanka Vs India,India,5,Hardik Pandya(c),c â€ Mendis b Karunaratne,12,12,1,1,100.00,2023
Sri Lanka Vs India,India,6,Deepak Hooda,c DM de Silva b PWH de Silva,9,12,0,0,75.00,2023
Sri Lanka Vs India,India,7,Axar Patel,c Karunaratne b Shanaka,65,31,3,6,209.67,2023
Sri Lanka Vs India,India,8,Shivam Mavi,c Theekshana b Shanaka,26,15,2,2,173.33,2023
Sri Lanka Vs India,India,9,Umran Malik,,1,1,0,0,100.00,2023
India Vs Sri Lanka,India,1,Ishan Kishanâ€ ,c DM de Silva b PWH de Silva,37,29,3,2,127.58,2023
India Vs Sri Lanka,India,2,Shubman Gill,lbw b Theekshana,7,5,1,0,140.00,2023
India Vs Sri Lanka,India,3,Suryakumar Yadav,c Rajapaksa b Karunaratne,7,10,1,0,70.00,2023
India Vs Sri Lanka,India,4,Sanju Samson,c Madushanka b DM de Silva,5,6,0,0,83.33,2023
India Vs Sri Lanka,India,5,Hardik Pandya(c),c â€ Mendis b Madushanka,29,27,4,0,107.40,2023
India Vs Sri Lanka,India,6,Deepak Hooda,,41,23,1,4,178.26,2023
India Vs Sri Lanka,India,7,Axar Patel,,31,20,3,1,155.00,2023
India Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka, b Shivam Mavi,1,3,0,0,33.33,2023
India Vs Sri Lanka,Sri Lanka,2,Kusal Mendisâ€ ,c Samson b HV Patel,28,25,5,0,112.00,2023
India Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,c Samson b Shivam Mavi,8,6,2,0,133.33,2023
India Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,c â€ Ishan Kishan b Umran Malik,12,15,1,1,80.00,2023
India Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,c Pandya b HV Patel,10,11,1,0,90.90,2023
India Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),c Chahal b Umran Malik,45,27,3,3,166.66,2023
India Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga,c Pandya b Shivam Mavi,21,10,1,2,210.00,2023
India Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,,23,16,0,2,143.75,2023
India Vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana,c Yadav b Shivam Mavi,1,4,0,0,25.00,2023
India Vs Sri Lanka,Sri Lanka,10,Kasun Rajitha,run out (Hooda/AR Patel),5,4,0,0,125.00,2023
India Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,run out (Hooda/â€ Ishan Kishan),0,0,0,0,-,2023
New Zealand Vs India,New Zealand,1,Finn Allen,lbw b Arshdeep Singh,3,4,0,0,75.00,2022
New Zealand Vs India,New Zealand,2,Devon Conwayâ€ ,c Ishan Kishan b Arshdeep Singh,59,49,5,2,120.40,2022
New Zealand Vs India,New Zealand,3,Mark Chapman,c Arshdeep Singh b Mohammed Siraj,12,12,2,0,100.00,2022
New Zealand Vs India,New Zealand,4,Glenn Phillips,c Kumar b Mohammed Siraj,54,33,5,3,163.63,2022
New Zealand Vs India,New Zealand,5,Daryl Mitchell,c â€ Pant b Arshdeep Singh,10,5,2,0,200.00,2022
New Zealand Vs India,New Zealand,6,James Neesham,c â€ Pant b Mohammed Siraj,0,3,0,0,0.00,2022
New Zealand Vs India,New Zealand,7,Mitchell Santner,c Chahal b Mohammed Siraj,1,3,0,0,33.33,2022
New Zealand Vs India,New Zealand,8,Adam Milne,run out (Mohammed Siraj),0,1,0,0,0.00,2022
New Zealand Vs India,New Zealand,9,Ish Sodhi, b Arshdeep Singh,0,1,0,0,0.00,2022
New Zealand Vs India,New Zealand,10,Tim Southee(c), b Patel,6,5,1,0,120.00,2022
New Zealand Vs India,New Zealand,11,Lockie Ferguson,,5,3,0,0,166.66,2022
New Zealand Vs India,India,1,Ishan Kishan,c Chapman b Milne,10,11,1,1,90.90,2022
New Zealand Vs India,India,2,Rishabh Pantâ€ ,c Sodhi b Southee,11,5,2,0,220.00,2022
New Zealand Vs India,India,3,Suryakumar Yadav,c Phillips b Sodhi,13,10,1,1,130.00,2022
New Zealand Vs India,India,4,Shreyas Iyer,c Neesham b Southee,0,1,0,0,0.00,2022
New Zealand Vs India,India,5,Hardik Pandya(c),,30,18,3,1,166.66,2022
New Zealand Vs India,India,6,Deepak Hooda,,9,9,0,0,100.00,2022
India Vs New Zealand,India,1,Ishan Kishan,c Southee b Sodhi,36,31,5,1,116.12,2022
India Vs New Zealand,India,2,Rishabh Pantâ€ ,c Southee b Ferguson,6,13,1,0,46.15,2022
India Vs New Zealand,India,3,Suryakumar Yadav,,111,51,11,7,217.64,2022
India Vs New Zealand,India,4,Shreyas Iyer,hit wicket b Ferguson,13,9,1,1,144.44,2022
India Vs New Zealand,India,5,Hardik Pandya(c),c Neesham b Southee,13,13,0,0,100.00,2022
India Vs New Zealand,India,6,Deepak Hooda,c Ferguson b Southee,0,1,0,0,0.00,2022
India Vs New Zealand,India,7,Washington Sundar,c Neesham b Southee,0,1,0,0,0.00,2022
India Vs New Zealand,India,8,Bhuvneshwar Kumar,,1,1,0,0,100.00,2022
India Vs New Zealand,New Zealand,1,Finn Allen,c Arshdeep Singh b Kumar,0,2,0,0,0.00,2022
India Vs New Zealand,New Zealand,2,Devon Conwayâ€ ,c Arshdeep Singh b Washington Sundar,25,22,3,0,113.63,2022
India Vs New Zealand,New Zealand,3,Kane Williamson(c), b Mohammed Siraj,61,52,4,2,117.30,2022
India Vs New Zealand,New Zealand,4,Glenn Phillips, b Chahal,12,6,1,1,200.00,2022
India Vs New Zealand,New Zealand,5,Daryl Mitchell,c Iyer b Hooda,10,11,0,0,90.90,2022
India Vs New Zealand,New Zealand,6,James Neesham,c Ishan Kishan b Chahal,0,3,0,0,0.00,2022
India Vs New Zealand,New Zealand,7,Mitchell Santner,c & b Mohammed Siraj,2,7,0,0,28.57,2022
India Vs New Zealand,New Zealand,8,Adam Milne,c Arshdeep Singh b Hooda,6,5,0,1,120.00,2022
India Vs New Zealand,New Zealand,9,Ish Sodhi,st â€ Pant b Hooda,1,3,0,0,33.33,2022
India Vs New Zealand,New Zealand,10,Tim Southee,c â€ Pant b Hooda,0,1,0,0,0.00,2022
India Vs New Zealand,New Zealand,11,Lockie Ferguson,,1,1,0,0,100.00,2022
India Vs England,India,1,KL Rahul,c â€ Buttler b Woakes,5,5,1,0,100.00,2022
India Vs England,India,2,Rohit Sharma(c),c Curran b Jordan,27,28,4,0,96.42,2022
India Vs England,India,3,Virat Kohli,c Rashid b Jordan,50,40,4,1,125.00,2022
India Vs England,India,4,Suryakumar Yadav,c Salt b Rashid,14,10,1,1,140.00,2022
India Vs England,India,5,Hardik Pandya,hit wicket b Jordan,63,33,4,5,190.90,2022
India Vs England,India,6,Rishabh Pantâ€ ,run out (â€ Buttler/Jordan),6,4,1,0,150.00,2022
India Vs England,India,7,Ravichandran Ashwin,,0,0,0,0,-,2022
India Vs England,England,1,Jos Buttler(c)â€ ,,80,49,9,3,163.26,2022
India Vs England,England,2,Alex Hales,,86,47,4,7,182.97,2022
India Vs Zimbabwe,India,1,KL Rahul,c Masakadza b Sikandar Raza,51,35,3,3,145.71,2022
India Vs Zimbabwe,India,2,Rohit Sharma(c),c Masakadza b Muzarabani,15,13,2,0,115.38,2022
India Vs Zimbabwe,India,3,Virat Kohli,c Burl b Williams,26,25,2,0,104.00,2022
India Vs Zimbabwe,India,4,Suryakumar Yadav,,61,25,6,4,244.00,2022
India Vs Zimbabwe,India,5,Rishabh Pantâ€ ,c Burl b Williams,3,5,0,0,60.00,2022
India Vs Zimbabwe,India,6,Hardik Pandya,c Muzarabani b Ngarava,18,18,2,0,100.00,2022
India Vs Zimbabwe,India,7,Axar Patel,,0,0,0,0,-,2022
India Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,c Kohli b Kumar,0,1,0,0,0.00,2022
India Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),c & b Pandya,13,15,2,0,86.66,2022
India Vs Zimbabwe,Zimbabwe,3,Regis Chakabvaâ€ , b Arshdeep Singh,0,6,0,0,0.00,2022
India Vs Zimbabwe,Zimbabwe,4,Sean Williams,c Kumar b Mohammed Shami,11,18,0,1,61.11,2022
India Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,c Yadav b Pandya,34,24,3,0,141.66,2022
India Vs Zimbabwe,Zimbabwe,6,Tony Munyonga,lbw b Mohammed Shami,5,4,1,0,125.00,2022
India Vs Zimbabwe,Zimbabwe,7,Ryan Burl, b Ashwin,35,22,5,1,159.09,2022
India Vs Zimbabwe,Zimbabwe,8,Wellington Masakadza,c Sharma b Ashwin,1,7,0,0,14.28,2022
India Vs Zimbabwe,Zimbabwe,9,Richard Ngarava, b Ashwin,1,2,0,0,50.00,2022
India Vs Zimbabwe,Zimbabwe,10,Tendai Chatara,c & b Patel,4,4,1,0,100.00,2022
India Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani,,0,2,0,0,0.00,2022
India Vs Bangladesh,India,1,KL Rahul,c Mustafizur Rahman b Shakib Al Hasan,50,32,3,4,156.25,2022
India Vs Bangladesh,India,2,Rohit Sharma(c),c Yasir Ali b Hasan Mahmud,2,8,0,0,25.00,2022
India Vs Bangladesh,India,3,Virat Kohli,,64,44,8,1,145.45,2022
India Vs Bangladesh,India,4,Suryakumar Yadav, b Shakib Al Hasan,30,16,4,0,187.50,2022
India Vs Bangladesh,India,5,Hardik Pandya,c Yasir Ali b Hasan Mahmud,5,6,0,0,83.33,2022
India Vs Bangladesh,India,6,Dinesh Karthikâ€ ,run out (Shakib Al Hasan/Shoriful Islam),7,5,1,0,140.00,2022
India Vs Bangladesh,India,7,Axar Patel,c Shakib Al Hasan b Hasan Mahmud,7,6,1,0,116.66,2022
India Vs Bangladesh,India,8,Ravichandran Ashwin,,13,6,1,1,216.66,2022
India Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,c Yadav b Mohammed Shami,21,25,1,1,84.00,2022
India Vs Bangladesh,Bangladesh,2,Litton Das,run out (Rahul),60,27,7,3,222.22,2022
India Vs Bangladesh,Bangladesh,3,Shakib Al Hasan(c),c sub (DJ Hooda) b Arshdeep Singh,13,12,2,0,108.33,2022
India Vs Bangladesh,Bangladesh,4,Afif Hossain,c Yadav b Arshdeep Singh,3,5,0,0,60.00,2022
India Vs Bangladesh,Bangladesh,5,Yasir Ali,c Arshdeep Singh b Pandya,1,3,0,0,33.33,2022
India Vs Bangladesh,Bangladesh,6,Nurul Hasanâ€ ,,25,14,2,1,178.57,2022
India Vs Bangladesh,Bangladesh,7,Mosaddek Hossain, b Pandya,6,3,0,1,200.00,2022
India Vs Bangladesh,Bangladesh,8,Taskin Ahmed,,12,7,1,1,171.42,2022
India Vs South Africa,India,1,KL Rahul,c Markram b Ngidi,9,14,0,1,64.28,2022
India Vs South Africa,India,2,Rohit Sharma(c),c & b Ngidi,15,14,1,1,107.14,2022
India Vs South Africa,India,3,Virat Kohli,c Rabada b Ngidi,12,11,2,0,109.09,2022
India Vs South Africa,India,4,Suryakumar Yadav,c Maharaj b Parnell,68,40,6,3,170.00,2022
India Vs South Africa,India,5,Deepak Hooda,c â€ de Kock b Nortje,0,3,0,0,0.00,2022
India Vs South Africa,India,6,Hardik Pandya,c Rabada b Ngidi,2,3,0,0,66.66,2022
India Vs South Africa,India,7,Dinesh Karthikâ€ ,c Rossouw b Parnell,6,15,0,0,40.00,2022
India Vs South Africa,India,8,Ravichandran Ashwin,c Rabada b Parnell,7,11,0,0,63.63,2022
India Vs South Africa,India,9,Bhuvneshwar Kumar,,4,6,0,0,66.66,2022
India Vs South Africa,India,10,Mohammed Shami,run out (Nortje),0,2,0,0,0.00,2022
India Vs South Africa,India,11,Arshdeep Singh,,2,1,0,0,200.00,2022
India Vs South Africa,South Africa,1,Quinton de Kockâ€ ,c Rahul b Arshdeep Singh,1,3,0,0,33.33,2022
India Vs South Africa,South Africa,2,Temba Bavuma(c),c â€ Karthik b Mohammed Shami,10,15,0,1,66.66,2022
India Vs South Africa,South Africa,3,Rilee Rossouw,lbw b Arshdeep Singh,0,2,0,0,0.00,2022
India Vs South Africa,South Africa,4,Aiden Markram,c Yadav b Pandya,52,41,6,1,126.82,2022
India Vs South Africa,South Africa,5,David Miller,,59,46,4,3,128.26,2022
India Vs South Africa,South Africa,6,Tristan Stubbs,lbw b Ashwin,6,6,1,0,100.00,2022
India Vs South Africa,South Africa,7,Wayne Parnell,,2,5,0,0,40.00,2022
India Vs Netherlands,India,1,KL Rahul,lbw b van Meekeren,9,12,1,0,75.00,2022
India Vs Netherlands,India,2,Rohit Sharma(c),c Ackermann b Klaassen,53,39,4,3,135.89,2022
India Vs Netherlands,India,3,Virat Kohli,,62,44,3,2,140.90,2022
India Vs Netherlands,India,4,Suryakumar Yadav,,51,25,7,1,204.00,2022
India Vs Netherlands,Netherlands,1,Vikramjit Singh, b Kumar,1,9,0,0,11.11,2022
India Vs Netherlands,Netherlands,2,Max O'Dowd, b Patel,16,10,3,0,160.00,2022
India Vs Netherlands,Netherlands,3,Bas de Leede,c Pandya b Patel,16,23,0,0,69.56,2022
India Vs Netherlands,Netherlands,4,Colin Ackermann,c Patel b Ashwin,17,21,1,0,80.95,2022
India Vs Netherlands,Netherlands,5,Tom Cooper,c sub (DJ Hooda) b Ashwin,9,12,0,0,75.00,2022
India Vs Netherlands,Netherlands,6,Scott Edwards(c)â€ ,c sub (DJ Hooda) b Kumar,5,8,0,0,62.50,2022
India Vs Netherlands,Netherlands,7,Tim Pringle,c Kohli b Mohammed Shami,20,15,1,1,133.33,2022
India Vs Netherlands,Netherlands,8,Logan van Beek,c â€ Karthik b Arshdeep Singh,3,5,0,0,60.00,2022
India Vs Netherlands,Netherlands,9,Shariz Ahmad,,16,11,2,0,145.45,2022
India Vs Netherlands,Netherlands,10,Fred Klaassen,lbw b Arshdeep Singh,0,1,0,0,0.00,2022
India Vs Netherlands,Netherlands,11,Paul van Meekeren,,14,6,3,0,233.33,2022
Pakistan Vs India,Pakistan,1,Mohammad Rizwanâ€ ,c Kumar b Arshdeep Singh,4,12,1,0,33.33,2022
Pakistan Vs India,Pakistan,2,Babar Azam(c),lbw b Arshdeep Singh,0,1,0,0,0.00,2022
Pakistan Vs India,Pakistan,3,Shan Masood,,52,42,5,0,123.80,2022
Pakistan Vs India,Pakistan,4,Iftikhar Ahmed,lbw b Mohammed Shami,51,34,2,4,150.00,2022
Pakistan Vs India,Pakistan,5,Shadab Khan,c Yadav b Pandya,5,6,1,0,83.33,2022
Pakistan Vs India,Pakistan,6,Haider Ali,c Yadav b Pandya,2,4,0,0,50.00,2022
Pakistan Vs India,Pakistan,7,Mohammad Nawaz,c â€ Karthik b Pandya,9,6,2,0,150.00,2022
Pakistan Vs India,Pakistan,8,Asif Ali,c â€ Karthik b Arshdeep Singh,2,3,0,0,66.66,2022
Pakistan Vs India,Pakistan,9,Shaheen Shah Afridi,c & b Kumar,16,8,1,1,200.00,2022
Pakistan Vs India,Pakistan,10,Haris Rauf,,6,4,0,1,150.00,2022
Pakistan Vs India,India,1,KL Rahul, b Naseem Shah,4,8,0,0,50.00,2022
Pakistan Vs India,India,2,Rohit Sharma(c),c Iftikhar Ahmed b Haris Rauf,4,7,0,0,57.14,2022
Pakistan Vs India,India,3,Virat Kohli,,82,53,6,4,154.71,2022
Pakistan Vs India,India,4,Suryakumar Yadav,c â€ Mohammad Rizwan b Haris Rauf,15,10,2,0,150.00,2022
Pakistan Vs India,India,5,Axar Patel,run out (Babar Azam/â€ Mohammad Rizwan),2,3,0,0,66.66,2022
Pakistan Vs India,India,6,Hardik Pandya,c Babar Azam b Mohammad Nawaz,40,37,1,2,108.10,2022
Pakistan Vs India,India,7,Dinesh Karthikâ€ ,st â€ Mohammad Rizwan b Mohammad Nawaz,1,2,0,0,50.00,2022
Pakistan Vs India,India,8,Ravichandran Ashwin,,1,1,0,0,100.00,2022
South Africa Vs India,South Africa,1,Quinton de Kockâ€ ,run out (Iyer/â€ Pant),68,43,6,4,158.13,2022
South Africa Vs India,South Africa,2,Temba Bavuma(c),c Sharma b UT Yadav,3,8,0,0,37.50,2022
South Africa Vs India,South Africa,3,Rilee Rossouw,,100,48,7,8,208.33,2022
South Africa Vs India,South Africa,4,Tristan Stubbs,c Ashwin b Chahar,23,18,2,1,127.77,2022
South Africa Vs India,South Africa,5,David Miller,,19,5,0,3,380.00,2022
South Africa Vs India,India,1,Rohit Sharma(c), b Rabada,0,2,0,0,0.00,2022
South Africa Vs India,India,2,Rishabh Pantâ€ ,c Stubbs b Ngidi,27,14,3,2,192.85,2022
South Africa Vs India,India,3,Shreyas Iyer,lbw b Parnell,1,4,0,0,25.00,2022
South Africa Vs India,India,4,Dinesh Karthik, b Maharaj,46,21,4,4,219.04,2022
South Africa Vs India,India,5,Suryakumar Yadav,c Stubbs b Pretorius,8,6,0,1,133.33,2022
South Africa Vs India,India,6,Axar Patel,c â€ de Kock b Parnell,9,8,1,0,112.50,2022
South Africa Vs India,India,7,Harshal Patel,c Miller b Ngidi,17,12,2,1,141.66,2022
South Africa Vs India,India,8,Ravichandran Ashwin,c Rabada b Maharaj,2,4,0,0,50.00,2022
South Africa Vs India,India,9,Deepak Chahar,c Miller b Pretorius,31,17,2,3,182.35,2022
South Africa Vs India,India,10,Umesh Yadav,,20,17,2,0,117.64,2022
South Africa Vs India,India,11,Mohammed Siraj,c Miller b Pretorius,5,7,1,0,71.42,2022
India Vs South Africa,India,1,KL Rahul,lbw b Maharaj,57,28,5,4,203.57,2022
India Vs South Africa,India,2,Rohit Sharma(c),c Stubbs b Maharaj,43,37,7,1,116.21,2022
India Vs South Africa,India,3,Virat Kohli,,49,28,7,1,175.00,2022
India Vs South Africa,India,4,Suryakumar Yadav,run out (Bavuma/Nortje),61,22,5,5,277.27,2022
India Vs South Africa,India,5,Dinesh Karthik,,17,7,1,2,242.85,2022
India Vs South Africa,South Africa,1,Temba Bavuma(c),c Kohli b Arshdeep Singh,0,7,0,0,0.00,2022
India Vs South Africa,South Africa,2,Quinton de Kockâ€ ,,69,48,3,4,143.75,2022
India Vs South Africa,South Africa,3,Rilee Rossouw,c Karthik b Arshdeep Singh,0,2,0,0,0.00,2022
India Vs South Africa,South Africa,4,Aiden Markram, b AR Patel,33,19,4,1,173.68,2022
India Vs South Africa,South Africa,5,David Miller,,106,47,8,7,225.53,2022
South Africa Vs India,South Africa,1,Quinton de Kockâ€ , b Arshdeep Singh,1,4,0,0,25.00,2022
South Africa Vs India,South Africa,2,Temba Bavuma(c), b Chahar,0,4,0,0,0.00,2022
South Africa Vs India,South Africa,3,Rilee Rossouw,c â€ Pant b Arshdeep Singh,0,1,0,0,0.00,2022
South Africa Vs India,South Africa,4,Aiden Markram,lbw b HV Patel,25,24,3,1,104.16,2022
South Africa Vs India,South Africa,5,David Miller, b Arshdeep Singh,0,1,0,0,0.00,2022
South Africa Vs India,South Africa,6,Tristan Stubbs,c Arshdeep Singh b Chahar,0,1,0,0,0.00,2022
South Africa Vs India,South Africa,7,Wayne Parnell,c Yadav b AR Patel,24,37,1,1,64.86,2022
South Africa Vs India,South Africa,8,Keshav Maharaj, b HV Patel,41,35,5,2,117.14,2022
South Africa Vs India,South Africa,9,Kagiso Rabada,,7,11,0,0,63.63,2022
South Africa Vs India,South Africa,10,Anrich Nortje,,2,2,0,0,100.00,2022
South Africa Vs India,India,1,KL Rahul,,51,56,2,4,91.07,2022
South Africa Vs India,India,2,Rohit Sharma(c),c â€ de Kock b Rabada,0,2,0,0,0.00,2022
South Africa Vs India,India,3,Virat Kohli,c â€ de Kock b Nortje,3,9,0,0,33.33,2022
South Africa Vs India,India,4,Suryakumar Yadav,,50,33,5,3,151.51,2022
Australia Vs India,Australia,1,Cameron Green,c Rahul b Kumar,52,21,7,3,247.61,2022
Australia Vs India,Australia,2,Aaron Finch(c),c Pandya b AR Patel,7,6,1,0,116.66,2022
Australia Vs India,Australia,3,Steven Smith,st â€ Karthik b Chahal,9,10,1,0,90.00,2022
Australia Vs India,Australia,4,Glenn Maxwell,run out (AR Patel),6,11,1,0,54.54,2022
Australia Vs India,Australia,5,Josh Inglis,c Sharma b AR Patel,24,22,3,0,109.09,2022
Australia Vs India,Australia,6,Tim David,c Sharma b HV Patel,54,27,2,4,200.00,2022
Australia Vs India,Australia,7,Matthew Wadeâ€ ,c & b AR Patel,1,3,0,0,33.33,2022
Australia Vs India,Australia,8,Daniel Sams,,28,20,1,2,140.00,2022
Australia Vs India,Australia,9,Pat Cummins,,0,1,0,0,0.00,2022
Australia Vs India,India,1,KL Rahul,c â€ Wade b Sams,1,4,0,0,25.00,2022
Australia Vs India,India,2,Rohit Sharma(c),c Sams b Cummins,17,14,2,1,121.42,2022
Australia Vs India,India,3,Virat Kohli,c Finch b Sams,63,48,3,4,131.25,2022
Australia Vs India,India,4,Suryakumar Yadav,c Finch b Hazlewood,69,36,5,5,191.66,2022
Australia Vs India,India,5,Hardik Pandya,,25,16,2,1,156.25,2022
Australia Vs India,India,6,Dinesh Karthikâ€ ,,1,1,0,0,100.00,2022
Australia Vs India,Australia,1,Aaron Finch(c), b Bumrah,31,15,4,1,206.66,2022
Australia Vs India,Australia,2,Cameron Green,run out (Kohli/AR Patel),5,4,1,0,125.00,2022
Australia Vs India,Australia,3,Glenn Maxwell, b AR Patel,0,1,0,0,0.00,2022
Australia Vs India,Australia,4,Tim David, b AR Patel,2,3,0,0,66.66,2022
Australia Vs India,Australia,5,Matthew Wadeâ€ ,,43,20,4,3,215.00,2022
Australia Vs India,Australia,6,Steven Smith,run out (HV Patel),8,5,1,0,160.00,2022
Australia Vs India,India,1,KL Rahul, b Zampa,10,6,0,1,166.66,2022
Australia Vs India,India,2,Rohit Sharma(c),,46,20,4,4,230.00,2022
Australia Vs India,India,3,Virat Kohli, b Zampa,11,6,2,0,183.33,2022
Australia Vs India,India,4,Suryakumar Yadav,lbw b Zampa,0,1,0,0,0.00,2022
Australia Vs India,India,5,Hardik Pandya,c Finch b Cummins,9,9,1,0,100.00,2022
Australia Vs India,India,6,Dinesh Karthik,,10,2,1,1,500.00,2022
India Vs Australia,India,1,KL Rahul,c Ellis b Hazlewood,55,35,4,3,157.14,2022
India Vs Australia,India,2,Rohit Sharma(c),c Ellis b Hazlewood,11,9,1,1,122.22,2022
