match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,Year
India Vs Australia,Australia,6,Tim David,c Yadav b Ravi Bishnoi,0,1,0,0,0.00,2023
India Vs Australia,Australia,7,Matthew Wade(c)â€ ,,28,16,3,1,175.00,2023
India Vs Australia,India,1,Yashasvi Jaiswal,c Zampa b Ellis,53,25,9,2,212.00,2023
India Vs Australia,India,2,Ruturaj Gaikwad,c David b Ellis,58,43,3,2,134.88,2023
India Vs Australia,India,3,Ishan Kishanâ€ ,c Ellis b Stoinis,52,32,3,4,162.50,2023
India Vs Australia,India,4,Suryakumar Yadav(c),c Stoinis b Ellis,19,10,0,2,190.00,2023
India Vs Australia,India,5,Rinku Singh,,31,9,4,2,344.44,2023
India Vs Australia,India,6,Tilak Varma,,7,2,0,1,350.00,2023
India Vs Australia,Australia,1,Steven Smith,c Jaiswal b Prasidh Krishna,19,16,1,1,118.75,2023
India Vs Australia,Australia,2,Matthew Short, b Ravi Bishnoi,19,10,3,0,190.00,2023
India Vs Australia,Australia,3,Josh Inglis,c Tilak Varma b Ravi Bishnoi,2,4,0,0,50.00,2023
India Vs Australia,Australia,4,Glenn Maxwell,c Jaiswal b Patel,12,8,1,1,150.00,2023
India Vs Australia,Australia,5,Marcus Stoinis,c Patel b Mukesh Kumar,45,25,2,4,180.00,2023
India Vs Australia,Australia,6,Tim David,c Gaikwad b Ravi Bishnoi,37,22,4,2,168.18,2023
India Vs Australia,Australia,7,Matthew Wade(c)â€ ,,42,23,1,4,182.60,2023
India Vs Australia,Australia,8,Sean Abbott, b Prasidh Krishna,1,2,0,0,50.00,2023
India Vs Australia,Australia,9,Nathan Ellis, b Prasidh Krishna,1,4,0,0,25.00,2023
India Vs Australia,Australia,10,Adam Zampa, b Arshdeep Singh,1,3,0,0,33.33,2023
India Vs Australia,Australia,11,Tanveer Sangha,,2,4,0,0,50.00,2023
Australia Vs India,Australia,1,Steven Smith,run out (Prasidh Krishna/Mukesh Kumar),52,41,8,0,126.82,2023
Australia Vs India,Australia,2,Matthew Short, b Ravi Bishnoi,13,11,3,0,118.18,2023
Australia Vs India,Australia,3,Josh Inglis,c Jaiswal b Prasidh Krishna,110,50,11,8,220.00,2023
Australia Vs India,Australia,4,Marcus Stoinis,,7,6,0,0,116.66,2023
Australia Vs India,Australia,5,Tim David,,19,13,2,1,146.15,2023
Australia Vs India,India,1,Yashasvi Jaiswal,c Smith b Short,21,8,2,2,262.50,2023
Australia Vs India,India,2,Ruturaj Gaikwad,run out (Ellis/â€ Wade),0,0,0,0,-,2023
Australia Vs India,India,3,Ishan Kishanâ€ ,c Short b Sangha,58,39,2,5,148.71,2023
Australia Vs India,India,4,Suryakumar Yadav(c),c Hardie b Behrendorff,80,42,9,4,190.47,2023
Australia Vs India,India,5,Tilak Varma,c Stoinis b Sangha,12,10,2,0,120.00,2023
Australia Vs India,India,6,Rinku Singh,,22,14,4,0,157.14,2023
Australia Vs India,India,7,Axar Patel,c & b Abbott,2,6,0,0,33.33,2023
Australia Vs India,India,8,Ravi Bishnoi,run out (â€ Wade/Abbott),0,1,0,0,0.00,2023
Australia Vs India,India,9,Arshdeep Singh,run out (Smith/Abbott),0,0,0,0,-,2023
Australia Vs India,India,10,Mukesh Kumar,,0,0,0,0,-,2023
