match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Year
Afghanistan Vs Info,Info,Sai Kishore,4,0,26,0,6.50,11,2,1,0,0,2023
Afghanistan Vs Info,Info,Shahbaz Ahmed,3.2,0,28,1,8.40,8,1,2,3,0,2023
Afghanistan Vs Info,Info,Ravi Bishnoi,4,0,12,1,3.00,12,0,0,0,0,2023
Bangladesh Vs India,India,Arshdeep Singh,3,0,10,1,3.33,10,0,0,0,0,2023
Bangladesh Vs India,India,Shivam Dube,1,0,9,0,9.00,2,0,1,0,0,2023
Bangladesh Vs India,India,Washington Sundar,4,0,15,2,3.75,16,0,1,1,0,2023
Bangladesh Vs India,India,Sai Kishore,4,0,12,3,3.00,17,0,0,1,1,2023
Bangladesh Vs India,India,Tilak Varma,2,0,5,1,2.50,8,0,0,1,0,2023
Bangladesh Vs India,India,Ravi Bishnoi,4,0,26,1,6.50,11,0,2,1,0,2023
Bangladesh Vs India,India,Shahbaz Ahmed,2,0,13,1,6.50,6,2,0,1,0,2023
Bangladesh Vs India,Bangladesh,Ripon Mondol,2,0,26,1,13.00,6,3,2,1,0,2023
Bangladesh Vs India,Bangladesh,Saif Hassan,1,0,10,0,10.00,2,0,1,0,0,2023
Bangladesh Vs India,Bangladesh,Mrittunjoy Chowdhury,1,0,14,0,14.00,3,0,2,1,0,2023
Bangladesh Vs India,Bangladesh,Rakibul Hasan,1,0,17,0,17.00,2,1,2,0,0,2023
Bangladesh Vs India,Bangladesh,Afif Hossain,2,0,9,0,4.50,8,0,1,0,0,2023
Bangladesh Vs India,Bangladesh,Hasan Murad,2,0,16,0,8.00,4,1,1,0,0,2023
Bangladesh Vs India,Bangladesh,Mahmudul Hasan Joy,0.2,0,5,0,15.00,0,1,0,0,0,2023
India Vs Nepal,Nepal,Sompal Kami,4,0,38,1,9.50,10,5,1,2,0,2023
India Vs Nepal,Nepal,Karan KC,2,0,23,0,11.50,5,2,2,0,0,2023
India Vs Nepal,Nepal,Dipendra Singh Airee,4,0,31,2,7.75,9,3,1,0,0,2023
India Vs Nepal,Nepal,Abinash Bohara,4,0,53,0,13.25,6,4,4,1,0,2023
India Vs Nepal,Nepal,Sandeep Lamichhane,3,0,28,1,9.33,6,3,1,0,0,2023
India Vs Nepal,Nepal,Rohit Paudel,3,0,26,0,8.66,7,0,3,0,0,2023
India Vs Nepal,India,Arshdeep Singh,4,0,43,2,10.75,13,3,4,3,0,2023
India Vs Nepal,India,Avesh Khan,4,0,32,3,8.00,15,4,2,1,0,2023
India Vs Nepal,India,Sai Kishore,4,0,25,1,6.25,14,1,2,0,0,2023
India Vs Nepal,India,Ravi Bishnoi,4,0,24,3,6.00,11,3,0,1,0,2023
India Vs Nepal,India,Washington Sundar,1,0,11,0,11.00,2,0,1,0,0,2023
India Vs Nepal,India,Shivam Dube,3,0,37,0,12.33,8,0,5,0,0,2023
India Vs Ireland,Ireland,Mark Adair,4,0,36,1,9.00,8,1,3,2,0,2023
India Vs Ireland,Ireland,Josh Little,4,0,48,0,12.00,5,6,2,0,0,2023
India Vs Ireland,Ireland,Barry McCarthy,4,0,36,2,9.00,7,2,2,3,0,2023
India Vs Ireland,Ireland,Craig Young,4,0,29,1,7.25,4,3,0,0,0,2023
India Vs Ireland,Ireland,Ben White,4,0,33,1,8.25,5,3,1,0,0,2023
India Vs Ireland,India,Jasprit Bumrah,4,1,15,2,3.75,16,0,0,1,0,2023
India Vs Ireland,India,Arshdeep Singh,4,0,29,1,7.25,13,2,2,1,0,2023
India Vs Ireland,India,Prasidh Krishna,4,0,29,2,7.25,12,0,3,1,0,2023
India Vs Ireland,India,Ravi Bishnoi,4,0,37,2,9.25,7,2,2,1,0,2023
India Vs Ireland,India,Washington Sundar,2,0,19,0,9.50,2,2,0,2,0,2023
India Vs Ireland,India,Shivam Dube,2,0,18,0,9.00,5,0,2,0,0,2023
Ireland Vs India,India,Jasprit Bumrah,4,0,24,2,6.00,16,3,1,1,0,2023
Ireland Vs India,India,Arshdeep Singh,4,0,35,1,8.75,11,2,2,3,1,2023
Ireland Vs India,India,Prasidh Krishna,4,0,32,2,8.00,11,4,1,1,0,2023
Ireland Vs India,India,Ravi Bishnoi,4,0,23,2,5.75,11,1,1,1,0,2023
Ireland Vs India,India,Shivam Dube,1,0,6,0,6.00,3,1,0,0,0,2023
Ireland Vs India,India,Washington Sundar,3,0,19,0,6.33,4,1,0,0,0,2023
Ireland Vs India,Ireland,Mark Adair,1,0,10,0,10.00,3,2,0,0,0,2023
Ireland Vs India,Ireland,Josh Little,3,0,20,0,6.66,10,2,1,1,0,2023
Ireland Vs India,Ireland,Barry McCarthy,2,0,14,0,7.00,4,0,1,1,0,2023
Ireland Vs India,Ireland,Craig Young,0.5,0,2,2,2.40,3,0,0,0,0,2023
India Vs West Indies,West Indies,Akeal Hosein,4,0,24,2,6.00,12,2,1,0,0,2023
India Vs West Indies,West Indies,Kyle Mayers,1,0,4,0,4.00,2,0,0,0,0,2023
India Vs West Indies,West Indies,Jason Holder,4,0,36,2,9.00,11,3,2,3,0,2023
India Vs West Indies,West Indies,Alzarri Joseph,3,0,41,0,13.66,4,5,2,1,0,2023
India Vs West Indies,West Indies,Roston Chase,4,0,25,1,6.25,6,2,0,1,0,2023
India Vs West Indies,West Indies,Romario Shepherd,4,0,31,4,7.75,10,0,3,2,0,2023
India Vs West Indies,India,Hardik Pandya,3,0,32,0,10.66,8,2,3,0,0,2023
India Vs West Indies,India,Arshdeep Singh,2,0,20,1,10.00,6,1,2,0,0,2023
India Vs West Indies,India,Kuldeep Yadav,4,0,18,0,4.50,12,1,0,2,0,2023
India Vs West Indies,India,Yuzvendra Chahal,4,0,51,0,12.75,4,1,5,0,0,2023
India Vs West Indies,India,Mukesh Kumar,1,0,10,0,10.00,0,1,0,1,0,2023
India Vs West Indies,India,Tilak Varma,2,0,17,1,8.50,5,1,1,0,0,2023
India Vs West Indies,India,Axar Patel,1,0,8,0,8.00,3,1,0,0,0,2023
India Vs West Indies,India,Yashasvi Jaiswal,1,0,11,0,11.00,1,0,1,0,0,2023
West Indies Vs India,India,Axar Patel,4,0,39,1,9.75,8,2,3,0,0,2023
West Indies Vs India,India,Arshdeep Singh,4,0,38,3,9.50,10,2,3,1,0,2023
West Indies Vs India,India,Yuzvendra Chahal,4,0,36,1,9.00,5,2,2,0,0,2023
West Indies Vs India,India,Kuldeep Yadav,4,0,26,2,6.50,10,1,1,1,0,2023
West Indies Vs India,India,Hardik Pandya,1,0,14,0,14.00,1,1,1,0,0,2023
West Indies Vs India,India,Mukesh Kumar,3,0,25,1,8.33,4,1,1,0,1,2023
West Indies Vs India,West Indies,Obed McCoy,3,0,32,0,10.66,6,3,2,0,0,2023
West Indies Vs India,West Indies,Akeal Hosein,4,0,31,0,7.75,5,1,1,0,0,2023
West Indies Vs India,West Indies,Jason Holder,4,0,33,0,8.25,9,5,0,1,0,2023
West Indies Vs India,West Indies,Romario Shepherd,3,0,35,1,11.66,3,4,1,1,0,2023
West Indies Vs India,West Indies,Odean Smith,2,0,30,0,15.00,5,1,4,0,0,2023
West Indies Vs India,West Indies,Rovman Powell,1,0,13,0,13.00,1,1,0,1,1,2023
West Indies Vs India,India,Hardik Pandya,3,0,18,0,6.00,7,2,0,0,0,2023
West Indies Vs India,India,Arshdeep Singh,3,0,33,0,11.00,6,2,2,3,0,2023
West Indies Vs India,India,Axar Patel,4,0,24,1,6.00,13,4,0,1,0,2023
West Indies Vs India,India,Yuzvendra Chahal,4,0,33,0,8.25,9,2,2,0,0,2023
West Indies Vs India,India,Kuldeep Yadav,4,0,28,3,7.00,12,2,2,0,0,2023
West Indies Vs India,India,Mukesh Kumar,2,0,19,1,9.50,4,1,1,1,0,2023
West Indies Vs India,West Indies,Obed McCoy,2,0,32,1,16.00,2,4,2,0,0,2023
West Indies Vs India,West Indies,Akeal Hosein,4,0,31,0,7.75,8,4,0,0,1,2023
West Indies Vs India,West Indies,Alzarri Joseph,4,0,25,2,6.25,12,2,1,0,0,2023
West Indies Vs India,West Indies,Roston Chase,4,0,28,0,7.00,6,2,0,1,1,2023
West Indies Vs India,West Indies,Romario Shepherd,3,0,36,0,12.00,5,4,2,0,0,2023
West Indies Vs India,West Indies,Rovman Powell,0.5,0,10,0,12.00,0,0,1,0,0,2023
India Vs West Indies,West Indies,Obed McCoy,4,0,25,0,6.25,11,1,1,2,0,2023
India Vs West Indies,West Indies,Akeal Hosein,4,0,29,2,7.25,8,1,2,0,0,2023
India Vs West Indies,West Indies,Alzarri Joseph,4,0,28,2,7.00,12,1,2,1,0,2023
India Vs West Indies,West Indies,Jason Holder,4,0,29,0,7.25,7,3,0,2,0,2023
India Vs West Indies,West Indies,Romario Shepherd,3,0,28,2,9.33,6,2,2,0,0,2023
India Vs West Indies,West Indies,Kyle Mayers,1,0,12,0,12.00,1,2,0,1,0,2023
India Vs West Indies,India,Hardik Pandya,4,0,35,3,8.75,10,4,1,0,0,2023
India Vs West Indies,India,Arshdeep Singh,4,0,34,1,8.50,7,2,2,0,0,2023
India Vs West Indies,India,Mukesh Kumar,3.5,0,35,1,9.13,8,3,2,0,0,2023
India Vs West Indies,India,Ravi Bishnoi,4,0,31,0,7.75,12,3,2,0,0,2023
India Vs West Indies,India,Yuzvendra Chahal,3,0,19,2,6.33,7,0,1,1,0,2023
West Indies Vs India,India,Arshdeep Singh,4,0,31,2,7.75,12,3,1,4,0,2023
West Indies Vs India,India,Mukesh Kumar,3,0,24,0,8.00,3,2,0,0,1,2023
West Indies Vs India,India,Axar Patel,2,0,22,0,11.00,4,1,2,0,0,2023
West Indies Vs India,India,Yuzvendra Chahal,3,0,24,2,8.00,7,1,2,0,0,2023
West Indies Vs India,India,Hardik Pandya,4,0,27,1,6.75,11,2,1,1,0,2023
West Indies Vs India,India,Kuldeep Yadav,4,0,20,1,5.00,10,1,0,1,0,2023
West Indies Vs India,West Indies,Akeal Hosein,4,0,17,1,4.25,14,2,0,0,0,2023
West Indies Vs India,West Indies,Obed McCoy,4,0,28,2,7.00,12,3,1,1,1,2023
West Indies Vs India,West Indies,Alzarri Joseph,4,0,39,0,9.75,11,2,3,2,0,2023
West Indies Vs India,West Indies,Jason Holder,4,1,19,2,4.75,12,0,1,1,0,2023
West Indies Vs India,West Indies,Romario Shepherd,4,0,33,2,8.25,8,3,1,1,0,2023
India Vs New Zealand,New Zealand,Ben Lister,4,0,42,0,10.50,8,3,3,0,0,2023
India Vs New Zealand,New Zealand,Michael Bracewell,1,0,8,1,8.00,1,1,0,0,0,2023
India Vs New Zealand,New Zealand,Lockie Ferguson,4,0,54,0,13.50,6,5,4,1,0,2023
India Vs New Zealand,New Zealand,Blair Tickner,3,0,50,1,16.66,3,6,3,2,0,2023
India Vs New Zealand,New Zealand,Ish Sodhi,3,0,34,1,11.33,3,2,2,0,0,2023
India Vs New Zealand,New Zealand,Mitchell Santner,4,0,37,0,9.25,5,4,1,0,0,2023
India Vs New Zealand,New Zealand,Daryl Mitchell,1,0,6,1,6.00,2,0,0,1,0,2023
